"","Time","PDCSAP_FLUX","GT","QFD_Trend","Sigma_Trend","QFD_State","Sigma_State","Flux"
"trend[900]",1326.54756665238,0.235339847024534,"1",3.43619718722631,1.15394698977486,"1","1",0
"trend[901]",1326.54895553658,1.86888476890454,"1",3.79481405586577,2.00772136350961,"1","1",0
"trend[902]",1326.55034442075,-0.732311520155463,"1",4.14277917181652,2.90440943353459,"1","1",0
"trend[903]",1326.55173330495,6.24657031577453,"1",4.47908829779762,3.78012459610976,"1","1",0
"trend[904]",1326.55312218915,7.84227344077453,"1",4.80278484825349,4.50079702399624,"1","1",0
"trend[905]",1326.55451107335,5.34105273765454,"1",5.11289341063572,4.97486097565974,"1","1",0
"trend[906]",1326.55589995755,18.6619755892145,"1",5.40862847719973,5.17035654875483,"1","1",0
"trend[907]",1326.55728884175,-4.14918163734546,"1",5.68911568906822,5.16366443841862,"1","1",0
"trend[908]",1326.55867772594,1.51927539390454,"1",5.95344291735573,5.20302148323905,"1","1",0
"trend[909]",1326.56006661014,-2.45582226234546,"1",6.20093817369694,5.44305440093716,"1","1",0
"trend[910]",1326.56145549434,11.8622929720245,"1",6.43079643901629,5.81088249448984,"1","1",0
"trend[911]",1326.56284437854,13.2275273470245,"1",6.64240196551622,6.10899090272551,"1","1",0
"trend[912]",1326.56423326274,3.71788379234454,"1",6.83509922089131,6.23751540215057,"1","1",0
"trend[913]",1326.56562214694,10.8162724642145,"1",7.00835166783283,6.21092744854847,"1","1",0
"trend[914]",1326.56701103117,3.59227344077453,"1",7.16171373534565,6.05599331500522,"1","1",0
"trend[915]",1326.56839991536,-0.373424801415467,"1",7.29466158857018,5.92495778718809,"1","1",0
"trend[916]",1326.56978879956,8.41661426108453,"1",7.40687642134644,5.83823101280115,"1","1",0
"trend[917]",1326.57117768376,16.0541875032745,"1",7.49796922062583,5.59556223147803,"1","1",0
"trend[918]",1326.57256656799,7.89281055015454,"1",7.56776016486449,5.13703667819496,"1","1",0
"trend[919]",1326.57395545219,-1.91395214515546,"1",7.61599035708313,4.63761119074419,"1","1",0
"trend[920]",1326.57534433639,1.07066699546453,"1",7.64247574306781,4.29198170744821,"1","1",0
"trend[921]",1326.57673322062,3.96104785484454,"1",7.64726450247245,4.17606238388947,"1","1",0
"trend[922]",1326.57812210481,6.52867480796453,"1",7.63023428918312,4.30492775932529,"1","1",0
"trend[923]",1326.57951098904,-6.97596386391547,"1",7.59128487725138,4.68134713407354,"1","1",0
"trend[924]",1326.58089987324,8.65428515952453,"1",7.53050831374134,5.29590741696089,"1","1",0
"trend[925]",1326.58228875747,11.3972050814045,"1",7.44813801383793,5.90730134500748,"1","1",0
"trend[926]",1326.5836776417,3.93223926108453,"1",7.34443863946218,6.36515529130734,"1","1",0
"trend[927]",1326.5850665259,11.9754521517145,"1",7.21963796506446,6.56906280879837,"1","1",0
"trend[928]",1326.58645541012,15.1122929720245,"1",7.07410347961935,6.37805274812617,"1","1",0
"trend[929]",1326.58784429435,5.48643847984454,"1",6.90809289209022,5.79199329982058,"1","1",0
"trend[930]",1326.58923317855,4.49339648765454,"1",6.72220545691966,4.98179481335933,"1","1",0
"trend[931]",1326.59062206278,10.4020878939045,"1",6.51685894629706,4.10918365856139,"1","1",0
"trend[932]",1326.59201094701,-10.5376093717255,"1",6.29276506065532,3.36573424574006,"1","1",0
"trend[933]",1326.59339983123,9.53880664390454,"1",6.05049251568495,2.98381535412372,"1","1",0
"trend[934]",1326.59478871543,-14.3946650357855,"1",5.79069288779429,2.96318554264097,"1","1",0
"trend[935]",1326.59617759966,11.5162236360845,"1",5.514063527635,3.34674101483611,"1","1",0
"trend[936]",1326.59756648389,7.18590137046453,"1",5.22144576780008,3.847647188536,"1","1",0
"trend[937]",1326.59895536812,6.12511035484454,"1",4.9136162399418,4.28990269675677,"1","1",0
"trend[938]",1326.60034425234,2.99071094077453,"1",4.59144236767721,4.63979719093976,"1","1",0
"trend[939]",1326.60173313657,8.72215625327453,"1",4.25585524703751,4.88661350333025,"1","1",0
"trend[940]",1326.6031220208,1.37694140952453,"1",3.9077564247091,5.0314965445277,"1","1",0
"trend[941]",1326.60451090503,5.74742480796453,"1",3.5480455409517,5.01590572059525,"1","1",0
"trend[942]",1326.60589978926,8.12804004234454,"1",3.17789959911137,4.75568876137818,"1","1",0
"trend[943]",1326.60728867351,13.8211552767145,"1",2.79830201178989,4.11364301149712,"1","1",0
"trend[944]",1326.60867755774,0.862659182964535,"1",2.41022467448822,3.0522509466276,"1","1",0
"trend[945]",1326.61006644197,0.206653323584533,"1",2.01484766237483,1.71354724545192,"1","1",0
"trend[946]",1326.6114553262,8.84044238608453,"1",1.61335128356692,0.218811921995813,"1","1",0
"trend[947]",1326.61284421042,-1.09058788734546,"1",1.20673913936419,-1.35499459754665,"1","1",0
"trend[948]",1326.61423309468,-16.4734003873455,"1",0.796292660698153,-2.72596799792532,"1","1",0
"trend[949]",1326.61562197891,-7.31104687172547,"1",0.383113286303978,-3.64050044196912,"1","1",0
"trend[950]",1326.61701086314,-4.21363476234546,"1",-0.0316482030959674,-4.09095677740893,"1","1",0
"trend[951]",1326.61839974739,-12.1414912076555,"1",-0.446778418000089,-4.18117770289348,"1","1",0
"trend[952]",1326.61978863162,5.17210742515454,"1",-0.861100297409753,-4.0669628543345,"1","1",0
"trend[953]",1326.62117751588,-2.35670116859546,"1",-1.27338626736486,-3.97416592944424,"1","1",0
"trend[954]",1326.62256640011,-7.80799511391547,"1",-1.68244059376515,-3.90552242893135,"1","1",0
"trend[955]",1326.62395528436,0.473987307964535,"1",-2.08724497560727,-3.79038587670274,"1","1",0
"trend[956]",1326.62534416859,-9.03211620765546,"1",-2.48665924753004,-3.70443328741789,"1","1",0
"trend[957]",1326.62673305285,-7.11585644203547,"1",-2.87949786867644,-3.63502658859068,"1","1",0
"trend[958]",1326.62812193708,-1.90455273109546,"1",-3.26461519847168,-3.69288480422595,"1","1",0
"trend[959]",1326.62951082133,5.91380664390454,"1",-3.64097414142008,-4.07182180396261,"1","1",0
"trend[960]",1326.63089970559,0.755359378274534,"1",-4.00756670669462,-4.90276703650111,"1","1",0
"trend[961]",1326.63228858982,-7.32679394203547,"1",-4.36332425556035,-6.05916975919733,"1","1",0
"trend[962]",1326.63367747408,-4.82374218422547,"1",-4.70720980072931,-7.34042773897042,"1","1",0
"trend[963]",1326.63506635833,-19.7046015592255,"1",-5.03820140691925,-8.50757247562343,"1","1",0
